start	end	text	trial
0	22560	Okay, the, the scale, tilted scale.
22560	28560	Cactus.
40560	44560	Flying person.
52560	60560	House with a tree on the left.
74560	78560	Sea horse.
82560	106560	A symmetrical two, two diamonds in a rectangle.
106560	122560	Surveillance camera.
122560	138560	Venus fly trap.
138560	156560	The simple kneeling person.
156560	170560	The simple swan.
170560	186560	Megaphone.
186560	204560	The top hat upside down holding person.
204560	218560	Arabesque.
218560	232560	The horse going to the left with a parallelogram as a tail going up.
232560	246560	The person reading the book turned to the left with the triangle on top.
246560	262560	The horse going to the right with a diamond.
262560	282560	The, on the left there is a straight line, on the right there is a squiggly line.
282560	298560	The child riding the hot dog.
298560	318560	Okay.
318560	322560	Okay.
