Time: 2023-04-15 15:20:37.458552, Key pressed: p
Time: 2023-04-15 15:20:37.610322, Key pressed: r
Time: 2023-04-15 15:20:37.714379, Key pressed: i
Time: 2023-04-15 15:20:37.834414, Key pressed: s
Time: 2023-04-15 15:20:37.924977, Key pressed: m
Time: 2023-04-15 15:20:38.087683, Key pressed: a
Time: 2023-04-15 15:20:38.306571, Key pressed: 0
Time: 2023-04-15 15:20:38.477634, Key pressed: 0
Time: 2023-04-15 15:20:38.851310, Key pressed: 4
Time: 2023-04-15 15:20:39.115109, Key pressed: enter
Time: 2023-04-15 15:54:34.290524, Key pressed: 2
Time: 2023-04-15 15:54:34.547529, Key pressed: 2
Time: 2023-04-15 15:54:34.576951, Key pressed: 2
Time: 2023-04-15 15:54:34.610436, Key pressed: 2
Time: 2023-04-15 15:54:34.644877, Key pressed: 2
Time: 2023-04-15 15:54:37.458690, Key pressed: 2
Time: 2023-04-15 15:54:37.709414, Key pressed: 2
Time: 2023-04-15 15:54:37.743121, Key pressed: 2
Time: 2023-04-15 15:54:37.782237, Key pressed: 2
Time: 2023-04-15 15:54:37.814461, Key pressed: 2
Time: 2023-04-15 15:54:46.550683, Key pressed: 2
Time: 2023-04-15 15:54:46.805326, Key pressed: 2
Time: 2023-04-15 15:54:46.843800, Key pressed: 2
Time: 2023-04-15 15:54:46.868176, Key pressed: 2
Time: 2023-04-15 15:54:46.907055, Key pressed: 2
Time: 2023-04-15 15:54:48.100484, Key pressed: 2
Time: 2023-04-15 15:54:48.365280, Key pressed: 2
Time: 2023-04-15 15:54:48.400838, Key pressed: 2
Time: 2023-04-15 15:55:08.159635, Key pressed: 2
Time: 2023-04-15 15:55:08.419533, Key pressed: 2
Time: 2023-04-15 15:55:08.448244, Key pressed: 2
Time: 2023-04-15 15:55:12.694961, Key pressed: 1
Time: 2023-04-15 15:55:24.335951, Key pressed: 2
Time: 2023-04-15 15:55:24.581248, Key pressed: 2
Time: 2023-04-15 15:55:24.620790, Key pressed: 2
Time: 2023-04-15 15:55:24.650595, Key pressed: 2
Time: 2023-04-15 15:55:24.678627, Key pressed: 2
Time: 2023-04-15 15:55:24.721817, Key pressed: 2
Time: 2023-04-15 15:55:24.746428, Key pressed: 2
Time: 2023-04-15 15:55:24.784668, Key pressed: 2
Time: 2023-04-15 15:55:24.823619, Key pressed: 2
Time: 2023-04-15 15:55:55.192673, Key pressed: 1
Time: 2023-04-15 15:55:55.454108, Key pressed: 1
Time: 2023-04-15 15:55:55.480278, Key pressed: 1
Time: 2023-04-15 15:55:55.517475, Key pressed: 1
Time: 2023-04-15 15:57:45.173091, Key pressed: =
Time: 2023-04-15 15:57:46.673237, Key pressed: =
Time: 2023-04-15 15:57:48.173518, Key pressed: =
Time: 2023-04-15 15:57:49.673527, Key pressed: =
Time: 2023-04-15 15:57:51.173514, Key pressed: =
Time: 2023-04-15 15:57:52.677869, Key pressed: =
Time: 2023-04-15 15:57:54.173360, Key pressed: =
Time: 2023-04-15 15:57:55.678274, Key pressed: =
Time: 2023-04-15 15:57:57.177656, Key pressed: =
Time: 2023-04-15 15:57:58.677565, Key pressed: =
Time: 2023-04-15 15:58:00.183402, Key pressed: =
Time: 2023-04-15 15:58:01.687659, Key pressed: =
Time: 2023-04-15 15:58:03.173068, Key pressed: =
Time: 2023-04-15 15:58:04.677705, Key pressed: =
Time: 2023-04-15 15:58:06.168472, Key pressed: =
Time: 2023-04-15 15:58:07.673147, Key pressed: =
Time: 2023-04-15 15:58:09.183260, Key pressed: =
Time: 2023-04-15 15:58:10.683623, Key pressed: =
Time: 2023-04-15 15:58:12.173306, Key pressed: =
Time: 2023-04-15 15:58:13.683355, Key pressed: =
Time: 2023-04-15 15:58:15.173191, Key pressed: =
Time: 2023-04-15 15:58:16.677772, Key pressed: =
Time: 2023-04-15 15:58:18.173338, Key pressed: =
Time: 2023-04-15 15:58:19.677680, Key pressed: =
Time: 2023-04-15 15:58:21.184028, Key pressed: =
Time: 2023-04-15 15:58:22.668151, Key pressed: =
Time: 2023-04-15 15:58:24.177649, Key pressed: =
Time: 2023-04-15 15:58:25.673264, Key pressed: =
Time: 2023-04-15 15:58:27.173448, Key pressed: =
Time: 2023-04-15 15:58:28.673391, Key pressed: =
Time: 2023-04-15 15:58:30.177611, Key pressed: =
Time: 2023-04-15 15:58:31.683527, Key pressed: =
Time: 2023-04-15 15:58:33.183565, Key pressed: =
Time: 2023-04-15 15:58:34.673515, Key pressed: =
Time: 2023-04-15 15:58:36.177988, Key pressed: =
Time: 2023-04-15 15:58:37.678252, Key pressed: =
Time: 2023-04-15 15:58:39.168670, Key pressed: =
Time: 2023-04-15 15:58:40.673650, Key pressed: =
Time: 2023-04-15 15:58:42.177690, Key pressed: =
Time: 2023-04-15 15:58:43.668370, Key pressed: =
Time: 2023-04-15 15:58:45.177732, Key pressed: =
Time: 2023-04-15 15:58:46.673358, Key pressed: =
Time: 2023-04-15 15:58:48.168622, Key pressed: =
Time: 2023-04-15 15:58:49.668333, Key pressed: =
Time: 2023-04-15 15:58:51.168849, Key pressed: =
Time: 2023-04-15 15:58:52.678248, Key pressed: =
Time: 2023-04-15 15:58:54.173749, Key pressed: =
Time: 2023-04-15 15:58:55.668403, Key pressed: =
Time: 2023-04-15 15:58:57.178365, Key pressed: =
Time: 2023-04-15 15:58:58.677838, Key pressed: =
Time: 2023-04-15 15:59:00.168582, Key pressed: =
Time: 2023-04-15 15:59:01.677430, Key pressed: =
Time: 2023-04-15 15:59:03.178247, Key pressed: =
Time: 2023-04-15 15:59:04.663331, Key pressed: =
Time: 2023-04-15 15:59:06.168774, Key pressed: =
Time: 2023-04-15 15:59:07.677884, Key pressed: =
Time: 2023-04-15 15:59:09.168765, Key pressed: =
Time: 2023-04-15 15:59:10.673372, Key pressed: =
Time: 2023-04-15 15:59:12.168839, Key pressed: =
Time: 2023-04-15 15:59:13.673400, Key pressed: =
Time: 2023-04-15 15:59:15.174811, Key pressed: =
Time: 2023-04-15 15:59:16.663514, Key pressed: =
