Time: 2023-05-17 09:19:25.367773, Key pressed: l
Time: 2023-05-17 09:19:25.521380, Key pressed: o
Time: 2023-05-17 09:19:25.621445, Key pressed: c
Time: 2023-05-17 09:19:25.669798, Key pressed: a
Time: 2023-05-17 09:19:33.759597, Key pressed: enter
Time: 2023-05-17 09:19:36.841633, Key pressed: s
Time: 2023-05-17 09:19:36.964555, Key pressed: k
Time: 2023-05-17 09:19:37.165057, Key pressed: y
Time: 2023-05-17 09:19:37.282086, Key pressed: r
Time: 2023-05-17 09:19:37.340457, Key pressed: a
Time: 2023-05-17 09:19:37.740395, Key pressed: 0
Time: 2023-05-17 09:19:38.025897, Key pressed: 1
Time: 2023-05-17 09:19:38.108641, Key pressed: 3
Time: 2023-05-17 09:19:40.505430, Key pressed: enter
Time: 2023-05-17 09:51:03.641844, Key pressed: 1
Time: 2023-05-17 09:55:34.255891, Key pressed: 1
Time: 2023-05-17 09:55:34.502813, Key pressed: 1
Time: 2023-05-17 09:55:34.536574, Key pressed: 1
Time: 2023-05-17 09:55:34.570841, Key pressed: 1
Time: 2023-05-17 09:55:34.599451, Key pressed: 1
Time: 2023-05-17 09:55:34.817753, Key pressed: 2
Time: 2023-05-17 09:55:35.265772, Key pressed: 3
Time: 2023-05-17 09:55:35.518981, Key pressed: 3
Time: 2023-05-17 09:55:35.552836, Key pressed: 3
Time: 2023-05-17 09:55:35.592239, Key pressed: 3
Time: 2023-05-17 10:02:36.322865, Key pressed: 1
Time: 2023-05-17 10:02:36.583711, Key pressed: 1
Time: 2023-05-17 10:02:36.618720, Key pressed: 1
Time: 2023-05-17 10:02:36.653778, Key pressed: 1
Time: 2023-05-17 10:02:36.687653, Key pressed: 1
Time: 2023-05-17 10:02:36.716619, Key pressed: 1
Time: 2023-05-17 10:02:36.753956, Key pressed: 1
Time: 2023-05-17 10:02:42.243003, Key pressed: backspace
Time: 2023-05-17 10:11:13.834329, Key pressed: 1
Time: 2023-05-17 10:11:14.091548, Key pressed: 1
Time: 2023-05-17 10:11:14.124345, Key pressed: 1
