Time: 2023-05-17 12:55:02.932719, Key pressed: ctrl
Time: 2023-05-17 12:55:02.969769, Key pressed: r
Time: 2023-05-17 12:55:05.969824, Key pressed: s
Time: 2023-05-17 12:55:06.030801, Key pressed: k
Time: 2023-05-17 12:55:06.201645, Key pressed: y
Time: 2023-05-17 12:55:06.305669, Key pressed: r
Time: 2023-05-17 12:55:06.398800, Key pressed: a
Time: 2023-05-17 12:55:06.554547, Key pressed: 0
Time: 2023-05-17 12:55:06.829508, Key pressed: 1
Time: 2023-05-17 12:55:06.970641, Key pressed: 4
Time: 2023-05-17 12:55:08.141196, Key pressed: enter
Time: 2023-05-17 12:59:55.018589, Key pressed: s
Time: 2023-05-17 12:59:55.125205, Key pressed: k
Time: 2023-05-17 12:59:55.322833, Key pressed: y
Time: 2023-05-17 12:59:55.443106, Key pressed: r
Time: 2023-05-17 12:59:55.491069, Key pressed: a
Time: 2023-05-17 12:59:56.183853, Key pressed: 0
Time: 2023-05-17 12:59:56.317994, Key pressed: 1
Time: 2023-05-17 12:59:56.405597, Key pressed: 4
Time: 2023-05-17 12:59:56.683041, Key pressed: shift
Time: 2023-05-17 12:59:56.789676, Key pressed: −
Time: 2023-05-17 12:59:58.773179, Key pressed: r
Time: 2023-05-17 12:59:58.854285, Key pressed: e
Time: 2023-05-17 12:59:58.933881, Key pressed: s
Time: 2023-05-17 12:59:59.114927, Key pressed: t
Time: 2023-05-17 12:59:59.213250, Key pressed: a
Time: 2023-05-17 12:59:59.346989, Key pressed: r
Time: 2023-05-17 12:59:59.500870, Key pressed: t
Time: 2023-05-17 12:59:59.629349, Key pressed: enter
Time: 2023-05-17 13:26:18.611451, Key pressed: y
Time: 2023-05-17 13:26:18.835488, Key pressed: o
Time: 2023-05-17 13:26:18.921111, Key pressed: u
Time: 2023-05-17 13:26:19.025033, Key pressed: t
Time: 2023-05-17 13:26:19.176238, Key pressed: u
Time: 2023-05-17 13:26:19.362517, Key pressed: enter
Time: 2023-05-17 13:37:23.291308, Key pressed: esc
Time: 2023-05-17 13:37:43.244689, Key pressed: ctrl
Time: 2023-05-17 13:37:43.495779, Key pressed: ctrl
Time: 2023-05-17 13:37:43.495911, Key pressed: ctrl
Time: 2023-05-17 13:37:43.530049, Key pressed: ctrl
Time: 2023-05-17 13:37:43.535728, Key pressed: ctrl
Time: 2023-05-17 13:37:43.554348, Key pressed: ctrl
Time: 2023-05-17 13:37:43.559606, Key pressed: ctrl
Time: 2023-05-17 13:37:43.593683, Key pressed: ctrl
Time: 2023-05-17 13:37:43.598961, Key pressed: ctrl
Time: 2023-05-17 13:37:43.627323, Key pressed: ctrl
Time: 2023-05-17 13:37:43.632449, Key pressed: ctrl
Time: 2023-05-17 13:37:43.661038, Key pressed: ctrl
Time: 2023-05-17 13:37:43.666488, Key pressed: ctrl
Time: 2023-05-17 13:37:43.679512, Key pressed: ctrl
Time: 2023-05-17 13:37:43.684643, Key pressed: ctrl
Time: 2023-05-17 13:37:43.723507, Key pressed: ctrl
Time: 2023-05-17 13:37:43.728665, Key pressed: ctrl
Time: 2023-05-17 13:37:43.767575, Key pressed: ctrl
Time: 2023-05-17 13:37:43.773195, Key pressed: ctrl
Time: 2023-05-17 13:37:43.784073, Key pressed: ctrl
Time: 2023-05-17 13:37:43.789702, Key pressed: ctrl
Time: 2023-05-17 13:37:43.820601, Key pressed: ctrl
Time: 2023-05-17 13:37:43.825772, Key pressed: ctrl
Time: 2023-05-17 13:37:43.859750, Key pressed: ctrl
Time: 2023-05-17 13:37:43.859947, Key pressed: ctrl
Time: 2023-05-17 13:37:43.884181, Key pressed: ctrl
Time: 2023-05-17 13:37:43.889822, Key pressed: ctrl
Time: 2023-05-17 13:37:43.917474, Key pressed: ctrl
Time: 2023-05-17 13:37:43.922677, Key pressed: ctrl
Time: 2023-05-17 13:37:43.972477, Key pressed: ctrl
Time: 2023-05-17 13:37:43.977802, Key pressed: ctrl
Time: 2023-05-17 13:37:43.988422, Key pressed: ctrl
Time: 2023-05-17 13:37:43.993715, Key pressed: ctrl
Time: 2023-05-17 13:37:44.036540, Key pressed: w
Time: 2023-05-17 13:38:17.812744, Key pressed: 1
Time: 2023-05-17 13:38:18.067225, Key pressed: 1
Time: 2023-05-17 13:38:18.096095, Key pressed: 1
Time: 2023-05-17 13:38:18.135866, Key pressed: 1
Time: 2023-05-17 13:38:20.768696, Key pressed: 1
Time: 2023-05-17 13:42:47.235841, Key pressed: =
Time: 2023-05-17 13:42:48.736684, Key pressed: =
Time: 2023-05-17 13:42:50.236213, Key pressed: =
Time: 2023-05-17 13:42:51.741060, Key pressed: =
Time: 2023-05-17 13:42:53.240786, Key pressed: =
Time: 2023-05-17 13:42:54.736036, Key pressed: =
Time: 2023-05-17 13:42:56.240734, Key pressed: =
Time: 2023-05-17 13:42:57.740497, Key pressed: =
Time: 2023-05-17 13:42:59.241004, Key pressed: =
Time: 2023-05-17 13:43:00.744838, Key pressed: =
Time: 2023-05-17 13:43:02.236843, Key pressed: =
Time: 2023-05-17 13:43:03.736794, Key pressed: =
Time: 2023-05-17 13:43:05.241943, Key pressed: =
Time: 2023-05-17 13:43:06.741364, Key pressed: =
Time: 2023-05-17 13:43:08.241305, Key pressed: =
Time: 2023-05-17 13:43:09.735715, Key pressed: =
Time: 2023-05-17 13:43:11.240939, Key pressed: =
Time: 2023-05-17 13:43:12.741036, Key pressed: =
Time: 2023-05-17 13:43:14.240411, Key pressed: =
Time: 2023-05-17 13:43:15.741309, Key pressed: =
Time: 2023-05-17 13:43:17.241042, Key pressed: =
Time: 2023-05-17 13:43:18.740935, Key pressed: =
Time: 2023-05-17 13:43:20.242052, Key pressed: =
Time: 2023-05-17 13:43:21.741908, Key pressed: =
Time: 2023-05-17 13:43:23.237059, Key pressed: =
Time: 2023-05-17 13:43:24.745157, Key pressed: =
Time: 2023-05-17 13:43:26.230931, Key pressed: =
Time: 2023-05-17 13:43:27.741394, Key pressed: =
Time: 2023-05-17 13:43:29.241279, Key pressed: =
Time: 2023-05-17 13:43:30.741580, Key pressed: =
Time: 2023-05-17 13:43:32.245465, Key pressed: =
Time: 2023-05-17 13:43:33.736738, Key pressed: =
Time: 2023-05-17 13:43:35.236434, Key pressed: =
Time: 2023-05-17 13:43:36.736411, Key pressed: =
Time: 2023-05-17 13:43:38.245438, Key pressed: =
Time: 2023-05-17 13:43:39.741638, Key pressed: =
Time: 2023-05-17 13:43:41.245557, Key pressed: =
Time: 2023-05-17 13:43:42.741903, Key pressed: =
Time: 2023-05-17 13:43:44.245351, Key pressed: =
Time: 2023-05-17 13:43:45.736890, Key pressed: =
Time: 2023-05-17 13:43:47.236556, Key pressed: =
Time: 2023-05-17 13:43:48.740635, Key pressed: =
Time: 2023-05-17 13:43:50.241295, Key pressed: =
Time: 2023-05-17 13:43:51.735923, Key pressed: =
Time: 2023-05-17 13:43:53.246072, Key pressed: =
Time: 2023-05-17 13:43:54.737100, Key pressed: =
Time: 2023-05-17 13:43:56.241507, Key pressed: =
Time: 2023-05-17 13:43:57.736836, Key pressed: =
Time: 2023-05-17 13:43:59.236563, Key pressed: =
Time: 2023-05-17 13:44:00.741604, Key pressed: =
Time: 2023-05-17 13:44:02.241871, Key pressed: =
Time: 2023-05-17 13:44:03.736376, Key pressed: =
Time: 2023-05-17 13:44:05.235828, Key pressed: =
Time: 2023-05-17 13:44:06.736431, Key pressed: =
Time: 2023-05-17 13:44:08.242022, Key pressed: =
Time: 2023-05-17 13:44:09.736808, Key pressed: =
Time: 2023-05-17 13:44:11.245608, Key pressed: =
Time: 2023-05-17 13:44:12.745468, Key pressed: =
Time: 2023-05-17 13:44:14.244990, Key pressed: =
Time: 2023-05-17 13:44:15.740965, Key pressed: =
Time: 2023-05-17 13:44:17.230941, Key pressed: =
Time: 2023-05-17 13:44:18.735873, Key pressed: =
Time: 2023-05-17 13:44:20.236274, Key pressed: =
Time: 2023-05-17 13:44:21.741299, Key pressed: =
Time: 2023-05-17 13:44:23.242183, Key pressed: =
Time: 2023-05-17 13:44:24.736455, Key pressed: =
Time: 2023-05-17 13:44:26.242361, Key pressed: =
Time: 2023-05-17 13:44:27.741222, Key pressed: =
Time: 2023-05-17 13:44:29.236014, Key pressed: =
Time: 2023-05-17 13:44:30.745440, Key pressed: =
Time: 2023-05-17 13:44:32.245759, Key pressed: =
Time: 2023-05-17 13:44:33.741519, Key pressed: =
Time: 2023-05-17 13:44:35.241315, Key pressed: =
Time: 2023-05-17 13:44:36.741891, Key pressed: =
Time: 2023-05-17 13:44:38.241814, Key pressed: =
Time: 2023-05-17 13:44:39.741354, Key pressed: =
Time: 2023-05-17 13:44:41.241454, Key pressed: =
Time: 2023-05-17 13:44:42.735724, Key pressed: =
Time: 2023-05-17 13:44:44.241375, Key pressed: =
Time: 2023-05-17 13:44:45.736537, Key pressed: =
Time: 2023-05-17 13:44:47.240691, Key pressed: =
Time: 2023-05-17 13:44:48.730340, Key pressed: =
Time: 2023-05-17 13:44:50.234864, Key pressed: =
Time: 2023-05-17 13:44:51.740435, Key pressed: =
Time: 2023-05-17 13:44:53.240006, Key pressed: =
Time: 2023-05-17 13:44:54.740513, Key pressed: =
Time: 2023-05-17 13:44:56.246106, Key pressed: =
Time: 2023-05-17 13:44:57.736076, Key pressed: =
Time: 2023-05-17 13:44:59.235656, Key pressed: =
Time: 2023-05-17 13:45:00.740862, Key pressed: =
Time: 2023-05-17 13:45:02.240690, Key pressed: =
Time: 2023-05-17 13:45:03.740915, Key pressed: =
Time: 2023-05-17 13:45:05.240889, Key pressed: =
Time: 2023-05-17 13:45:06.740601, Key pressed: =
Time: 2023-05-17 13:45:08.240306, Key pressed: =
Time: 2023-05-17 13:45:09.735848, Key pressed: =
Time: 2023-05-17 13:45:11.240868, Key pressed: =
Time: 2023-05-17 13:45:12.741090, Key pressed: =
Time: 2023-05-17 13:45:14.235248, Key pressed: =
Time: 2023-05-17 13:45:15.744778, Key pressed: =
Time: 2023-05-17 13:45:17.241516, Key pressed: =
Time: 2023-05-17 13:45:18.740920, Key pressed: =
Time: 2023-05-17 13:45:20.241029, Key pressed: =
Time: 2023-05-17 13:45:21.730454, Key pressed: =
Time: 2023-05-17 13:45:23.230248, Key pressed: =
Time: 2023-05-17 13:45:24.745699, Key pressed: =
Time: 2023-05-17 13:45:26.240403, Key pressed: =
Time: 2023-05-17 13:45:27.744564, Key pressed: =
Time: 2023-05-17 13:45:29.236098, Key pressed: =
Time: 2023-05-17 13:45:30.740419, Key pressed: =
Time: 2023-05-17 13:45:32.240956, Key pressed: =
Time: 2023-05-17 13:45:33.741303, Key pressed: =
Time: 2023-05-17 13:45:35.241165, Key pressed: =
Time: 2023-05-17 13:45:36.744732, Key pressed: =
Time: 2023-05-17 13:45:38.240903, Key pressed: =
Time: 2023-05-17 13:45:39.740770, Key pressed: =
Time: 2023-05-17 13:45:41.240882, Key pressed: =
Time: 2023-05-17 13:45:42.740369, Key pressed: =
Time: 2023-05-17 13:45:44.245102, Key pressed: =
Time: 2023-05-17 13:45:45.740611, Key pressed: =
Time: 2023-05-17 13:45:47.245060, Key pressed: =
Time: 2023-05-17 13:45:48.741527, Key pressed: =
Time: 2023-05-17 13:45:50.240805, Key pressed: =
Time: 2023-05-17 13:45:51.744553, Key pressed: =
Time: 2023-05-17 13:45:53.240661, Key pressed: =
Time: 2023-05-17 13:45:54.739808, Key pressed: =
Time: 2023-05-17 13:45:56.230041, Key pressed: =
Time: 2023-05-17 13:45:57.745152, Key pressed: =
Time: 2023-05-17 13:45:59.240248, Key pressed: =
Time: 2023-05-17 13:46:00.744177, Key pressed: =
Time: 2023-05-17 13:46:02.240286, Key pressed: =
Time: 2023-05-17 13:46:03.744213, Key pressed: =
Time: 2023-05-17 13:46:05.235816, Key pressed: =
Time: 2023-05-17 13:46:06.736033, Key pressed: =
Time: 2023-05-17 13:46:08.235717, Key pressed: =
Time: 2023-05-17 13:46:09.735203, Key pressed: =
Time: 2023-05-17 13:46:11.240368, Key pressed: =
Time: 2023-05-17 13:46:12.741146, Key pressed: =
Time: 2023-05-17 13:46:14.240785, Key pressed: =
Time: 2023-05-17 13:46:15.741266, Key pressed: =
Time: 2023-05-17 13:46:17.244810, Key pressed: =
Time: 2023-05-17 13:46:18.740951, Key pressed: =
Time: 2023-05-17 13:46:20.241279, Key pressed: =
Time: 2023-05-17 13:46:21.740798, Key pressed: =
Time: 2023-05-17 13:46:23.241567, Key pressed: =
Time: 2023-05-17 13:46:24.740458, Key pressed: =
Time: 2023-05-17 13:46:26.244805, Key pressed: =
Time: 2023-05-17 13:46:27.735509, Key pressed: =
Time: 2023-05-17 13:46:29.236366, Key pressed: =
Time: 2023-05-17 13:46:30.735270, Key pressed: =
Time: 2023-05-17 13:46:32.235757, Key pressed: =
Time: 2023-05-17 13:46:33.740910, Key pressed: =
Time: 2023-05-17 13:46:35.244783, Key pressed: =
Time: 2023-05-17 13:46:36.735485, Key pressed: =
Time: 2023-05-17 13:46:38.240716, Key pressed: =
Time: 2023-05-17 13:46:39.736133, Key pressed: =
Time: 2023-05-17 13:46:41.230698, Key pressed: =
Time: 2023-05-17 13:46:42.734945, Key pressed: =
Time: 2023-05-17 13:46:44.240885, Key pressed: =
Time: 2023-05-17 13:46:45.741186, Key pressed: =
Time: 2023-05-17 13:46:47.244677, Key pressed: =
Time: 2023-05-17 13:46:48.741394, Key pressed: =
Time: 2023-05-17 13:46:50.251002, Key pressed: =
Time: 2023-05-17 13:46:51.745309, Key pressed: =
Time: 2023-05-17 13:46:53.235324, Key pressed: =
Time: 2023-05-17 13:46:54.744867, Key pressed: =
Time: 2023-05-17 13:46:56.240453, Key pressed: =
